,DetWake Periods,DetSleep Consistency,DetRespiratory Rate,DetTotal Cycle Sleep Time (hours),DetREM Percentage,DetDeep Sleep Percentage,DetRestorative Sleep (hours),DetRestorative Sleep (%)
510,7.347374930488321,60.49503614593207,18.8086,4.41,27.9,8.8,1.63,36.7
511,13.0,58.72082298371529,19.1895,8.45,27.2,13.7,3.17,40.9
512,7.0,67.0,16.2891,6.49,25.8,17.0,2.99,42.8
513,8.0,70.0,16.4648,6.35,36.7,11.1,3.19,47.8
514,6.0,82.0,16.1133,5.81,25.5,17.5,2.78,43.0
515,16.027315465599102,68.0,16.5234,7.83,33.2,14.6,4.02,47.8
516,8.0,72.0,16.2305,6.13,27.2,14.7,2.77,41.8
517,10.0,83.0,15.4688,6.83,32.8,14.0,3.45,46.8
518,5.0,12.0,15.4395,4.63,36.9,13.5,2.62,50.4
519,14.0,70.0,15.0586,7.24,35.2,16.6,4.28,51.8
520,10.0,59.0,14.5898,2.82,17.6,15.9,1.14,33.5
521,7.0,48.0,14.8828,6.66,19.2,21.0,2.07,40.2
522,15.0,49.0,14.6484,4.65,19.8,22.7,1.93,42.5
523,15.0,52.0,15.7031,6.94,36.1,20.9,4.36,57.0
524,20.766099089138407,63.0,14.8828,6.72,37.8,13.9,3.87,51.7
525,19.0,67.0,16.4648,7.92,27.8,8.7,2.81,36.5
526,22.0,70.0,16.5234,8.46,21.3,25.1,3.68,46.4
527,22.0,58.0,16.4648,6.76,24.8,12.9,3.54,37.6
528,22.0,48.0,16.2305,7.68,19.0,17.3,3.19,36.2
529,10.0,66.0,16.0547,6.5,14.7,8.6,1.73,23.3
530,17.0,58.0,15.6738,10.39,22.0,6.6,3.3,28.6
531,13.0,90.0,17.5195,6.83,16.2,13.3,2.24,29.5
532,17.0,85.0,17.8125,5.97,18.2,19.3,2.49,37.5
533,15.0,85.0,17.6367,6.96,26.0,20.5,3.5,46.5
534,21.67531620898683,57.0,17.4609,6.27,12.9,18.8,2.24,31.7
535,7.0,65.0,17.5781,7.37,15.4,19.9,2.7,35.3
536,15.0,50.0,17.5195,8.12,22.4,18.7,4.05,41.1
537,13.07340641915399,39.0,14.1211,13.37,35.8,14.9,2.89,50.7
538,14.0,53.0,14.0039,5.59,17.0,12.5,1.96,29.4
539,11.0,52.0,14.3262,6.28,30.5,22.9,3.85,53.4
540,7.0,62.0,14.2383,7.14,31.4,24.0,4.3,55.4
541,22.0,62.0,14.9414,8.73,13.7,16.2,3.12,30.0
542,12.0,28.0,14.2676,9.88,29.2,19.3,4.02,48.4
543,15.0,57.0,14.4434,9.05,23.2,13.6,3.59,36.8
544,25.0,40.0,17.6953,7.74,30.1,16.4,4.2,46.5
545,28.0,54.0,18.6328,7.28,30.2,17.1,4.18,47.3
546,24.0,68.0,18.3105,7.33,21.2,14.1,3.11,35.3
547,26.0,65.0,18.1934,8.49,21.3,17.7,4.03,38.9
548,32.0,81.0,17.7539,6.88,19.8,13.3,3.24,33.1
549,31.0,53.0,17.7539,10.13,36.0,18.8,6.58,54.8
550,12.855390380832183,47.0,15.293,9.53,36.0,18.4,4.26,54.3
551,10.0,65.0,15.3516,6.72,30.9,18.9,3.63,49.8
552,12.288077267430232,48.0,16.2891,6.18,27.2,12.7,2.64,39.9
553,15.0,66.0,15.2344,6.82,31.4,24.3,4.4,55.8
554,8.0,76.0,15.4102,5.95,27.6,30.1,3.87,57.8
555,8.0,76.0,15.1172,6.17,23.5,22.9,3.2,46.4
556,6.0,44.0,15.1758,4.96,31.1,22.6,3.14,53.7
557,12.0,59.0,16.6406,4.85,43.2,17.3,3.43,60.5
558,13.0,63.0,16.9922,6.67,34.6,20.1,4.03,54.6
559,9.0,65.56334151148835,16.9922,6.59,42.3,16.7,4.34,59.0
560,14.0,64.01716803757496,17.4902,6.06,31.1,23.2,3.91,54.2
561,15.0,82.0,16.0547,7.23,12.5,24.6,3.08,37.2
562,6.0,80.0,14.7656,6.98,40.7,21.8,4.58,62.5
563,7.0,84.0,15.4688,9.08,33.7,22.6,5.34,56.3
564,12.0,83.0,15.7031,7.14,20.5,24.2,3.47,44.7
565,11.0,87.0,15.293,6.77,22.5,27.2,3.93,49.7
566,8.0,53.0,16.1719,9.32,37.5,18.2,4.29,55.6
567,11.0,61.0,15.5273,8.66,32.9,22.9,5.58,55.9
568,13.0,74.0,17.168,7.36,11.1,16.2,2.05,27.3
569,13.0,84.0,17.1094,7.05,19.8,25.3,3.46,45.2
570,18.0,60.0,16.9922,7.01,23.6,21.9,3.18,45.4
571,4.0,71.0,17.4023,5.76,6.1,23.1,1.82,29.2
572,15.0,76.0,17.4609,5.9,22.0,23.9,3.24,45.9
573,7.0,80.0,17.168,4.8,40.3,27.6,3.52,67.8
574,10.032335431564405,69.0,17.4023,7.24,38.7,19.2,3.8,57.9
575,10.14528205090047,83.0,16.8164,6.28,34.5,22.6,3.71,57.1
576,11.234479668906431,50.0,16.875,8.38,32.7,17.4,3.69,50.1
577,16.0,70.0,17.3438,6.66,14.6,16.6,2.5,31.3
578,30.0,56.0,17.2266,9.37,15.6,17.3,3.74,32.9
579,10.0,62.0,17.2852,7.13,30.8,21.3,4.13,52.1
580,7.0,71.0,17.0215,8.38,35.2,21.4,5.05,56.6
581,12.0,46.0,17.4023,7.03,32.4,15.9,3.1,48.3
582,17.0,59.0,17.168,7.98,37.1,16.3,4.65,53.4
583,13.0,69.0,17.4609,6.67,36.9,21.3,4.34,58.3
584,12.716404453898605,74.0,17.2266,7.05,28.8,17.2,3.42,46.0
585,8.0,83.0,17.4609,6.62,33.1,16.1,3.6,49.2
586,8.0,67.0,17.168,7.38,43.4,18.5,5.22,61.8
587,10.769187813297684,70.0,17.168,8.3,35.1,15.3,4.37,50.4
588,12.0,70.0,18.2227,6.19,26.0,23.0,3.35,49.0
589,6.0,59.0,17.9883,6.79,21.1,18.4,2.17,39.5
590,11.0,72.0,17.8711,7.0,23.6,16.2,3.02,39.8
591,15.734090082391312,70.0,17.8711,7.91,27.5,14.9,3.15,42.4
592,16.0,77.0,18.1055,6.57,30.8,24.8,4.13,55.6
593,7.0,52.0,18.2812,4.41,31.4,25.8,2.77,57.2
594,8.0,59.0,17.8125,9.12,33.9,19.2,5.32,53.1
595,5.146585079159735,87.0,19.3359,8.74,29.5,18.5,4.23,48.0
596,8.0,84.0,19.5117,7.65,30.3,12.3,3.39,42.6
597,7.0,69.0,19.6289,8.4,40.0,17.8,5.15,57.8
598,14.0,76.0,18.9258,7.65,29.7,19.5,4.16,49.3
599,10.632094657245531,84.0,19.4531,7.29,29.2,16.8,3.48,46.0
600,5.0,88.0,19.0723,7.83,41.6,12.2,4.36,53.8
601,12.143287062544864,82.0,19.4531,6.37,28.1,20.7,3.26,48.8
602,13.0,67.10965771895323,17.5781,6.75,18.5,20.6,2.83,39.0
603,8.0,71.31969075322466,19.2773,5.5,43.0,16.1,3.49,59.1
604,6.0,66.66829721553094,19.3359,4.52,20.6,22.4,2.09,43.0
605,13.217155299205274,68.8637117872698,18.9258,7.82,32.9,17.6,4.19,50.5
606,8.0,44.0,19.9365,5.17,38.4,22.4,3.37,60.8
607,9.0,26.0,14.8242,6.94,36.4,13.2,3.88,49.6
608,10.9469803387858,47.0,16.5527,6.55,29.0,11.4,2.77,40.4
609,10.0,42.0,16.0547,6.51,36.8,19.6,4.06,56.4
610,18.0,51.0,16.5527,8.06,31.9,11.8,3.81,43.7
611,16.0,56.0,15.1172,8.02,33.9,5.3,3.86,39.2
612,6.0,63.0,15.7031,8.12,44.5,11.6,4.75,56.1
613,11.0,70.0,15.4688,5.4,19.0,11.7,1.89,30.7
614,24.0,71.0,15.4688,5.3,27.8,22.8,3.31,50.6
615,15.0,80.0,15.7031,6.91,37.0,21.3,4.46,58.3
616,19.0,51.0,15.7617,6.58,21.4,19.8,3.1,41.3
617,29.0,64.46965248535388,15.7617,6.8,22.6,20.5,3.51,43.2
618,21.0,61.0,15.1758,7.58,24.3,13.8,3.48,38.2
619,16.494802766970402,58.0,17.5781,7.7,17.0,18.2,2.88,35.1
620,13.0,81.0,17.4609,6.66,16.5,18.8,2.59,35.3
621,15.0,82.0,17.6074,6.12,27.8,12.4,2.81,40.2
622,26.0,87.0,17.4609,6.68,12.0,19.2,2.42,31.2
623,18.0,69.0,17.8125,7.75,18.2,22.9,3.99,41.1
624,23.0,71.0,18.1641,8.73,20.0,14.5,3.74,34.4
625,13.0,70.0,17.6367,6.94,22.6,22.3,3.42,44.9
626,6.0,40.0,17.8125,4.14,5.3,5.3,0.4,10.6
627,22.0,44.0,15.2344,14.33,21.5,18.9,4.69,40.4
628,11.932224093201555,42.0,15.0293,6.41,33.5,21.7,3.69,55.2
629,18.0,27.0,15.0586,11.83,25.5,14.4,4.21,39.9
630,11.0,29.0,15.2344,6.83,33.3,18.0,3.11,51.2
631,36.0,33.0,16.7578,10.79,20.3,11.3,3.94,31.6
632,14.0,25.0,15.3516,10.95,38.4,14.4,4.61,52.9
633,21.0,50.0,17.5781,6.66,12.2,19.8,2.54,32.1
634,36.0,66.0,17.666,8.22,16.7,16.9,3.71,33.6
635,22.0,67.0,17.7246,5.87,13.1,10.5,1.75,23.6
636,28.0,53.0,18.3105,7.58,5.7,15.1,2.15,20.8
637,16.0,53.0,18.3984,6.42,28.1,18.3,3.61,46.4
638,24.0,57.0,17.4609,10.08,20.8,10.6,3.78,31.4
639,22.0,57.0,17.5488,8.83,20.6,15.4,3.78,36.0
640,10.138358256901128,41.0,14.3848,8.11,44.8,14.7,3.76,59.5
641,9.829839679934906,53.0,15.5859,3.86,10.6,31.4,1.71,42.0
642,8.0,46.0,15.6152,6.33,22.3,10.6,2.2,32.9
643,1.0,51.0,15.1758,4.22,31.1,19.7,2.19,50.8
644,6.0,55.0,15.8496,6.65,53.9,14.8,4.87,68.7
645,7.0,58.0,17.1094,6.52,30.9,13.2,3.1,44.2
646,8.0,51.551971063869104,16.9922,8.77,32.8,22.5,3.42,55.3
647,13.0,69.0,17.4316,6.95,37.4,22.9,4.6,60.3
648,11.0,76.0,16.875,8.19,44.4,22.3,5.83,66.8
649,2.0,50.0,17.5195,2.85,40.1,20.2,1.85,60.3
650,8.816945722504691,66.0,15.4102,6.75,33.2,23.9,3.99,57.2
651,9.533781739171943,72.0,15.7617,7.3,29.5,26.6,4.26,56.1
652,13.0,74.0,15.5273,7.57,30.6,22.4,4.35,53.0
653,10.208905405601662,64.0,15.2637,9.97,38.3,22.3,5.37,60.6
654,8.0,76.0,16.0547,6.87,26.4,20.5,3.54,46.9
655,5.0,81.0,15.5273,8.56,37.3,22.4,5.28,59.7
656,11.0,87.0,15.5273,8.71,28.0,20.1,4.35,48.1
657,4.0,60.0,17.6953,3.53,23.7,15.4,1.47,39.1
658,12.0,46.0,17.4023,6.14,34.5,18.5,3.21,53.1
659,17.0,56.0,17.4609,6.3,17.8,18.3,2.6,36.1
660,26.0,39.0,17.6367,8.86,15.0,12.2,2.61,27.2
661,7.0,61.0,17.4609,5.32,29.4,18.5,2.59,47.9
662,15.0,49.0,16.8164,10.38,27.2,22.5,4.9,49.6
663,6.0,49.0,17.1094,4.3,27.4,24.6,2.43,51.9
664,11.0,76.0,16.7285,8.09,37.4,20.1,4.97,57.5
665,9.0,80.0,16.6406,6.02,32.5,21.0,3.47,53.5
666,11.240974288275545,66.0,16.4062,5.74,36.7,20.2,3.41,56.8
667,9.931144379039438,51.0,15.9961,7.39,37.5,20.1,4.41,57.6
668,11.0,79.0,17.2852,7.12,28.6,20.6,3.77,49.2
669,6.0,51.0,17.6953,5.4,16.8,27.0,2.61,43.8
670,14.0,64.12636194053488,17.0508,8.02,37.0,11.6,4.23,48.6
671,11.0,67.16112600910535,16.875,7.74,32.7,15.8,4.03,48.5
672,7.0,52.0,17.6953,6.28,12.1,18.1,1.72,30.3
673,15.0,68.0,18.0469,6.67,25.6,22.2,3.79,47.8
674,16.0,64.0,17.6367,6.82,24.8,15.5,3.66,40.3
675,9.0,52.0,17.8125,4.47,30.9,19.6,2.73,50.6
676,5.0,72.0,18.3398,4.39,23.4,24.3,2.26,47.7
677,15.0,46.0,18.0762,6.59,31.9,21.7,4.33,53.6
678,11.343196148860727,79.0,18.6914,8.59,34.8,18.6,4.8,53.3
679,13.364368207290198,73.0,19.1602,5.77,22.0,8.7,1.87,30.7
680,10.0,64.0,19.3945,9.8,38.2,20.1,6.04,58.3
681,11.526387332093314,62.0,19.2773,9.39,37.1,19.4,5.54,56.5
682,8.0,55.0,19.6289,5.74,23.2,21.1,2.79,44.3
683,5.0,60.0,18.3984,7.55,39.9,15.2,4.28,55.2
684,7.0,71.0,19.2773,7.67,13.0,17.5,2.9,30.5
685,15.0,50.289098152160626,17.666,19.27,5.2,8.1,2.75,13.3
686,8.846789759225288,30.0,20.0977,1.49,9.6,0.0,0.15,9.6
687,13.603385550651879,43.0,14.8535,8.34,39.8,9.7,3.97,49.5
688,8.708466169998665,53.0,15.1758,5.23,42.6,16.1,3.14,58.7
689,9.0,52.0,15.1172,7.16,46.8,8.8,4.23,55.6
690,12.0,56.0,15.1172,8.06,28.3,17.0,3.52,45.2
691,10.0,72.0,15.2344,6.7,33.7,13.8,3.44,47.6
692,23.0,63.0,16.4062,9.39,32.5,17.7,5.22,50.2
693,8.0,62.0,15.5566,6.37,32.2,12.0,2.99,44.2
694,14.0,55.0,16.084,3.82,22.5,18.1,1.86,40.6
695,25.0,69.0,15.1172,7.33,36.7,14.6,4.14,51.4
696,23.0,32.0,15.1172,6.89,19.9,16.9,2.76,36.8
697,12.0,45.0,14.8535,4.84,9.7,21.9,1.76,31.6
698,12.0,63.0,14.7656,3.43,34.8,21.9,2.28,56.7
699,12.0,38.0,15.7617,4.37,29.0,15.2,2.39,44.2
700,13.0,63.606591627162324,16.2305,5.79,28.6,19.4,3.19,48.0
701,23.0,63.79454534352366,15.5566,6.36,32.8,19.9,4.05,52.7
702,9.0,68.04592303283897,14.502,6.69,52.3,23.6,5.53,75.9
703,15.0,65.0,17.8125,7.54,27.8,13.1,3.37,40.9
704,14.0,72.0,17.4609,8.41,24.4,17.0,3.73,41.4
705,25.0,72.0,17.6367,8.4,25.2,16.3,4.28,41.6
706,29.0,42.0,15.8789,10.23,25.3,10.4,4.38,35.8
707,11.0,50.0,15.0879,6.0,41.7,16.9,3.92,58.6
708,22.0,56.0,15.5713,8.68,22.8,6.1,3.18,28.9
709,14.0,66.0,15.0586,6.55,29.0,18.0,3.5,47.0
710,30.0,30.0,15.7617,12.5,23.0,10.1,5.52,33.1
711,8.0,41.0,14.8242,9.87,33.6,11.5,4.62,45.2
712,8.0,44.0,14.2383,4.39,39.7,10.9,2.46,50.6
713,22.0,73.0,18.2812,8.12,9.1,16.2,2.44,25.3
714,20.0,72.0,17.8125,7.41,22.6,14.9,3.17,37.4
715,25.0,64.0,17.5488,7.59,14.8,16.3,3.01,31.1
716,23.0,79.0,17.5781,6.82,20.0,17.0,3.29,37.0
717,28.0,27.0,17.7539,14.34,31.9,17.8,6.57,49.7
718,7.0,79.0,15.9668,6.24,32.0,17.7,3.29,49.7
719,12.18460124015472,81.0,15.5273,5.71,31.6,18.8,3.06,50.4
720,9.313229740655075,49.0,16.9336,4.63,26.8,2.8,1.05,29.6
721,6.0,59.0,15.4688,4.41,10.1,14.0,1.17,24.1
722,8.863259924227542,66.0,16.5527,2.03,15.6,25.9,0.88,41.5
723,7.0,63.0,17.1094,5.11,25.0,20.4,2.58,45.3
724,9.0,64.93489098814567,15.7031,5.37,25.3,20.8,2.73,46.1
725,5.0,61.40846315090986,17.0215,5.92,30.0,18.3,2.51,48.3
726,11.0,69.2869175331366,15.9961,7.1,36.6,18.2,4.34,54.7
727,5.0,50.0,17.3438,3.12,16.5,25.6,1.58,42.1
728,9.0,53.0,16.8164,9.94,36.2,22.5,4.72,58.8
729,11.0,92.0,15.1172,7.85,23.2,24.7,4.21,47.9
730,11.0,89.0,15.1758,8.84,29.9,27.8,5.36,57.7
731,6.0,92.0,15.0,7.82,25.4,21.1,3.84,46.5
732,9.919313153057615,72.0,15.3516,5.99,27.2,25.0,3.26,52.2
733,9.0,82.0,15.0,7.37,33.7,26.4,4.71,60.2
734,11.0,87.0,15.7031,7.08,31.4,21.6,4.0,53.0
735,5.0,89.0,15.3516,7.36,34.4,19.3,4.12,53.6
736,19.0,55.0,16.582,7.62,23.2,25.4,4.19,48.7
737,7.0,64.0,16.9043,6.26,23.6,21.3,2.95,44.9
738,12.0,61.0,16.1719,7.77,22.7,17.8,3.41,40.5
739,18.0,60.0,16.9922,7.88,23.4,15.2,4.06,38.7
740,9.029451928120572,72.0,17.2266,5.86,23.2,20.4,2.65,43.6
741,15.0,59.0,17.2266,5.9,10.7,12.8,2.21,23.5
742,20.0,67.0,16.9336,5.19,12.8,19.5,2.48,32.3
743,9.0,67.89273312031406,17.1094,8.86,31.6,22.0,4.98,53.6
744,9.0,72.59276455083011,17.4023,8.2,36.6,19.4,4.87,56.0
745,12.0,71.49529430170674,17.5195,8.81,38.0,19.1,5.5,57.2
746,11.0,72.0,17.6953,10.57,41.1,21.7,6.19,62.8
747,13.0,77.0,17.2852,8.16,43.4,17.6,5.34,61.0
748,10.378351486819597,63.0,17.4609,5.06,41.7,23.0,3.4,64.8
749,11.0265172668053,26.0,17.2852,8.31,30.1,13.1,3.73,43.2
750,7.0,46.0,17.0215,8.11,34.4,21.1,4.69,55.5
751,7.0,58.0,17.4609,5.86,34.8,12.8,2.97,47.7
752,11.0,33.0,16.7578,8.74,15.3,11.0,2.65,26.3
753,8.978090693178572,40.0,16.9336,4.8,34.4,17.9,2.57,52.3
754,9.638345777597884,58.0,17.6367,6.5,15.5,23.6,2.65,39.1
