,RHR,DetRHR,Raw Bias,% Bias
495,74,74.0,0.0,0.0
496,76,76.0,0.0,0.0
497,74,74.0,0.0,0.0
498,71,71.0,0.0,0.0
499,67,67.0,0.0,0.0
500,69,65.91861035492536,3.081389645074637,4.6745367180581034
501,76,76.0,0.0,0.0
502,72,72.0,0.0,0.0
503,61,61.0,0.0,0.0
504,64,64.0,0.0,0.0
505,65,65.0,0.0,0.0
506,67,67.0,0.0,0.0
507,66,66.0,0.0,0.0
508,65,65.0,0.0,0.0
509,57,57.0,0.0,0.0
510,60,60.0,0.0,0.0
511,61,61.0,0.0,0.0
512,48,48.0,0.0,0.0
513,55,55.0,0.0,0.0
514,48,48.0,0.0,0.0
515,57,57.0,0.0,0.0
516,55,55.0,0.0,0.0
517,49,49.0,0.0,0.0
518,49,49.0,0.0,0.0
519,57,57.0,0.0,0.0
520,60,60.0,0.0,0.0
521,60,60.0,0.0,0.0
522,56,56.0,0.0,0.0
523,61,61.0,0.0,0.0
524,58,58.0,0.0,0.0
525,68,68.0,0.0,0.0
526,67,67.0,0.0,0.0
527,65,65.0,0.0,0.0
528,65,65.0,0.0,0.0
529,64,64.0,0.0,0.0
530,69,69.0,0.0,0.0
531,53,53.0,0.0,0.0
532,57,57.0,0.0,0.0
533,53,53.0,0.0,0.0
534,50,50.0,0.0,0.0
535,49,49.0,0.0,0.0
536,49,49.0,0.0,0.0
537,52,52.0,0.0,0.0
538,54,54.0,0.0,0.0
539,55,55.0,0.0,0.0
540,53,53.0,0.0,0.0
541,60,60.0,0.0,0.0
542,53,53.0,0.0,0.0
543,51,51.0,0.0,0.0
544,67,67.0,0.0,0.0
545,66,66.0,0.0,0.0
546,62,62.0,0.0,0.0
547,63,63.0,0.0,0.0
548,66,66.0,0.0,0.0
549,67,67.0,0.0,0.0
550,48,48.0,0.0,0.0
551,54,54.0,0.0,0.0
552,53,53.0,0.0,0.0
553,50,50.0,0.0,0.0
554,49,49.0,0.0,0.0
555,49,49.0,0.0,0.0
556,48,48.0,0.0,0.0
557,74,74.0,0.0,0.0
558,73,73.0,0.0,0.0
559,75,75.0,0.0,0.0
560,78,78.0,0.0,0.0
561,58,58.0,0.0,0.0
562,58,58.0,0.0,0.0
563,57,57.0,0.0,0.0
564,56,56.0,0.0,0.0
565,56,56.0,0.0,0.0
566,58,58.0,0.0,0.0
567,53,53.0,0.0,0.0
568,60,60.0,0.0,0.0
569,55,55.0,0.0,0.0
570,58,58.0,0.0,0.0
571,55,55.0,0.0,0.0
572,58,65.34298209320673,-7.342982093206729,-11.237598680042687
573,54,54.0,0.0,0.0
574,58,58.0,0.0,0.0
575,55,55.0,0.0,0.0
576,61,61.0,0.0,0.0
577,65,65.0,0.0,0.0
578,61,61.0,0.0,0.0
579,60,60.0,0.0,0.0
580,57,57.0,0.0,0.0
581,60,60.0,0.0,0.0
582,61,61.0,0.0,0.0
583,58,58.0,0.0,0.0
584,51,51.0,0.0,0.0
585,59,59.0,0.0,0.0
586,59,59.0,0.0,0.0
587,56,56.0,0.0,0.0
588,74,74.0,0.0,0.0
589,71,71.0,0.0,0.0
590,77,77.0,0.0,0.0
591,82,82.0,0.0,0.0
592,75,75.0,0.0,0.0
593,73,73.0,0.0,0.0
594,78,78.0,0.0,0.0
595,66,66.0,0.0,0.0
596,60,60.0,0.0,0.0
597,63,63.0,0.0,0.0
598,58,58.0,0.0,0.0
599,52,52.0,0.0,0.0
600,53,53.0,0.0,0.0
601,58,58.0,0.0,0.0
602,49,49.0,0.0,0.0
603,63,63.0,0.0,0.0
604,55,55.0,0.0,0.0
605,56,56.0,0.0,0.0
606,73,73.0,0.0,0.0
607,49,49.0,0.0,0.0
608,52,52.0,0.0,0.0
609,54,54.0,0.0,0.0
610,52,52.0,0.0,0.0
611,52,52.0,0.0,0.0
612,52,52.0,0.0,0.0
613,66,66.0,0.0,0.0
614,61,61.0,0.0,0.0
615,62,62.0,0.0,0.0
616,57,57.0,0.0,0.0
617,55,55.0,0.0,0.0
618,64,64.0,0.0,0.0
619,45,45.0,0.0,0.0
620,46,46.0,0.0,0.0
621,45,45.0,0.0,0.0
622,49,49.0,0.0,0.0
623,47,47.0,0.0,0.0
624,52,52.0,0.0,0.0
625,49,49.0,0.0,0.0
626,68,68.0,0.0,0.0
627,54,54.0,0.0,0.0
628,54,54.0,0.0,0.0
629,53,53.0,0.0,0.0
630,50,50.0,0.0,0.0
631,53,53.0,0.0,0.0
632,52,52.0,0.0,0.0
633,64,64.0,0.0,0.0
634,62,62.0,0.0,0.0
635,63,63.0,0.0,0.0
636,63,63.0,0.0,0.0
637,69,69.0,0.0,0.0
638,53,53.0,0.0,0.0
639,57,57.0,0.0,0.0
640,49,49.0,0.0,0.0
641,49,49.0,0.0,0.0
642,53,53.0,0.0,0.0
643,57,57.0,0.0,0.0
644,55,55.0,0.0,0.0
645,74,74.0,0.0,0.0
646,70,70.0,0.0,0.0
647,72,72.0,0.0,0.0
648,74,74.0,0.0,0.0
649,87,87.0,0.0,0.0
650,55,55.0,0.0,0.0
651,58,58.0,0.0,0.0
652,55,55.0,0.0,0.0
653,53,53.0,0.0,0.0
654,58,58.0,0.0,0.0
655,57,57.0,0.0,0.0
656,54,54.0,0.0,0.0
657,47,47.0,0.0,0.0
658,53,53.0,0.0,0.0
659,53,53.0,0.0,0.0
660,47,47.0,0.0,0.0
661,58,58.0,0.0,0.0
662,54,54.0,0.0,0.0
663,51,51.0,0.0,0.0
664,55,55.0,0.0,0.0
665,54,54.0,0.0,0.0
666,51,51.0,0.0,0.0
667,56,56.0,0.0,0.0
668,60,60.0,0.0,0.0
669,61,61.0,0.0,0.0
670,60,60.0,0.0,0.0
671,52,52.0,0.0,0.0
672,72,72.0,0.0,0.0
673,78,78.0,0.0,0.0
674,73,73.0,0.0,0.0
675,75,75.0,0.0,0.0
676,75,75.0,0.0,0.0
677,81,81.0,0.0,0.0
678,58,58.0,0.0,0.0
679,57,57.0,0.0,0.0
680,62,62.0,0.0,0.0
681,66,66.0,0.0,0.0
682,63,63.0,0.0,0.0
683,67,67.0,0.0,0.0
684,74,74.0,0.0,0.0
685,47,47.0,0.0,0.0
686,65,65.0,0.0,0.0
687,57,57.0,0.0,0.0
688,55,55.0,0.0,0.0
689,56,56.0,0.0,0.0
690,54,54.0,0.0,0.0
691,49,49.0,0.0,0.0
692,53,49.621254105376096,3.378745894623904,6.8090699349290364
693,56,56.0,0.0,0.0
694,54,54.0,0.0,0.0
695,53,53.0,0.0,0.0
696,50,50.0,0.0,0.0
697,54,54.0,0.0,0.0
698,61,61.0,0.0,0.0
699,54,54.0,0.0,0.0
700,65,65.0,0.0,0.0
701,63,63.0,0.0,0.0
702,61,61.0,0.0,0.0
703,50,50.0,0.0,0.0
704,48,48.0,0.0,0.0
705,53,53.0,0.0,0.0
706,48,48.0,0.0,0.0
707,54,54.0,0.0,0.0
708,49,49.0,0.0,0.0
709,49,49.0,0.0,0.0
710,45,45.0,0.0,0.0
711,46,46.0,0.0,0.0
712,43,43.0,0.0,0.0
713,57,57.0,0.0,0.0
714,52,52.0,0.0,0.0
715,52,52.0,0.0,0.0
716,51,51.0,0.0,0.0
717,58,58.0,0.0,0.0
718,49,49.0,0.0,0.0
719,57,57.0,0.0,0.0
720,60,60.0,0.0,0.0
721,53,53.0,0.0,0.0
722,58,58.0,0.0,0.0
723,66,66.0,0.0,0.0
724,63,63.0,0.0,0.0
725,70,70.0,0.0,0.0
726,66,66.0,0.0,0.0
727,80,80.0,0.0,0.0
728,62,62.0,0.0,0.0
729,51,51.0,0.0,0.0
730,59,59.0,0.0,0.0
731,55,55.0,0.0,0.0
732,65,65.0,0.0,0.0
